ABS_TIME,CMD,ACT_TO_ACT,PRE_TO_ACT,CMD_TO_PRE,ACT_TO_PRE,RD_16,RD_32,WR_16,WR_32,CMD_UTIL,OPEN_rdutil,OPEN_wrutil,OPENRD_distutil,OPENWR_distutil,Z_act2act
336600900,ACTV,212700,26600,0,0,0,0,0,0,0,0,0,0,0,-0.21654985177324193
337137100,PREpb,0,0,669100,691300,0,0,0,1,8,0.0,0.03125,0,0,-0.21946599565125405
337274700,PREpb,0,0,651700,673800,0,0,1,0,4,0.0,0.015625,0,0,-0.21946599565125405
338338100,ACTV,0,4942700,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
338453200,ACTV,0,1178500,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
339064600,PREpb,0,0,589200,611400,1,0,0,0,18,0.015625,0.0,0,0,-0.21946599565125405
340048400,PREpb,0,0,669300,1710300,3,0,1,2,8,0.03125,0.0625,1.5,0.5,-0.21946599565125405
340456300,ACTV,0,1391700,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
341099100,PREpb,0,0,620700,642800,1,0,0,0,8,0.015625,0.0,0,0,-0.21946599565125405
342566700,ACTV,0,1467600,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
343537200,PREpb,0,0,651500,970500,1,0,1,0,16,0.015625,0.015625,0,0,-0.21946599565125405
352270300,ACTV,25563900,24327500,0,0,0,0,0,0,0,0,0,0,0,0.13101830375219575
353382900,PREpb,0,0,14003800,15044800,0,0,0,0,12,0.03125,0.0625,1.5,0.5,-0.21946599565125405
354482100,ACTV,2211800,26539300,0,0,0,0,0,0,0,0,0,0,0,-0.18914193815531055
354646100,ACTV,12079400,11108900,0,0,0,0,0,0,0,0,0,0,0,-0.053855895227843245
355173800,PREpb,0,0,669500,691700,0,1,0,1,12,0.0,0.03125,0,0,-0.21946599565125405
355337800,PREpb,0,0,669600,691700,0,0,0,1,4,0.0,0.03125,0,0,-0.21946599565125405
356477000,ACTV,1994900,1303200,0,0,0,0,0,0,0,0,0,0,0,-0.19211566456405912
357132800,PREpb,0,0,633700,655800,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
357673900,ACTV,19335800,4291000,0,0,0,0,0,0,0,0,0,0,0,0.04563026573316791
358347500,PREpb,0,0,616000,673600,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
359996500,PREpb,0,0,2265000,2322600,0,0,0,0,4,0.046875,0.0,1.0,0,-0.21946599565125405
360905100,ACTV,33923900,33277000,0,0,0,0,0,0,0,0,0,0,0,0.24563496017053726
361596900,PREpb,0,0,669600,691800,0,0,0,1,8,0.0,0.03125,0,0,-0.21946599565125405
361641200,PREpb,0,0,6973000,6995100,0,0,0,0,4,0.0,0.03125,0,0,-0.21946599565125405
362376900,ACTV,4703000,2380400,0,0,0,0,0,0,0,0,0,0,0,-0.15498727135275403
362629500,ACTV,6152500,5496700,0,0,0,0,0,0,0,0,0,0,0,-0.135114443185483
362691500,ACTV,8045400,1050300,0,0,0,0,0,0,0,0,0,0,0,-0.10916254498760276
363032500,PREpb,0,0,633500,655600,0,1,0,0,18,0.03125,0.0,0,0,-0.21946599565125405
363320500,PREpb,0,0,668900,691000,0,0,0,1,4,0.0,0.03125,0,0,-0.21946599565125405
363342600,PREpb,0,0,584800,651100,1,1,0,0,4,0.046875,0.0,1.0,0,-0.21946599565125405
364553000,ACTV,28107200,27415900,0,0,0,0,0,0,0,0,0,0,0,0.165887268138412
364690500,PREpb,0,0,79800,137500,0,2,0,0,18,0.0625,0.0,1.0,0,-0.21946599565125405
366317500,ACTV,0,1627000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
366463600,ACTV,4086700,3431100,0,0,0,0,0,0,0,0,0,0,0,-0.16343682223201528
366991100,PREpb,0,0,616100,673600,1,1,0,0,24,0.046875,0.0,1.0,0,-0.21946599565125405
367004500,ACTV,4375000,3684000,0,0,0,0,0,0,0,0,0,0,0,-0.15948419280074638
367434500,PREpb,0,0,651800,970900,1,0,1,0,8,0.015625,0.015625,0,0,-0.21946599565125405
367509800,ACTV,0,75300,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
367695900,PREpb,0,0,669300,691400,0,0,0,1,8,0.0,0.03125,0,0,-0.21946599565125405
369867400,ACTV,0,57774900,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
370084600,PREpb,0,0,669200,2574800,3,1,3,3,28,0.03125,0.0625,0.3333333333333333,0.6,-0.21946599565125405
370541300,PREpb,0,0,616300,673900,1,1,0,0,4,0.046875,0.0,1.0,0,-0.21946599565125405
371538600,ACTV,0,997300,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
372212800,PREpb,0,0,616500,674200,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
372252700,ACTV,4742900,2168100,0,0,0,0,0,0,0,0,0,0,0,-0.1544402373107574
372944100,PREpb,0,0,669200,691400,0,0,0,1,8,0.0,0.03125,0,0,-0.21946599565125405
373378200,ACTV,12473100,11781300,0,0,0,0,0,0,0,0,0,0,0,-0.04845821847761585
374025000,PREpb,0,0,624700,646800,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
375040400,PREpb,0,0,652000,2787700,1,0,1,0,8,0.015625,0.046875,0,11.0,-0.21946599565125405
375062500,ACTV,0,1037500,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
375718600,PREpb,0,0,634000,656100,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
376875500,ACTV,9871000,9179600,0,0,0,0,0,0,0,0,0,0,0,-0.08413333829414293
377536100,PREpb,0,0,603000,660600,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
378484300,ACTV,0,948200,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
379179900,PREpb,0,0,638100,695600,0,2,0,0,10,0.0625,0.0,1.0,0,-0.21946599565125405
380283800,ACTV,0,57938700,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
381933400,ACTV,0,59588300,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
382576600,PREpb,0,0,621000,643200,2,1,0,0,30,0.015625,0.0,0,0,-0.21946599565125405
385608300,ACTV,10545800,9889700,0,0,0,0,0,0,0,0,0,0,0,-0.07488174502248063
386282200,PREpb,0,0,616200,673900,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
387439200,ACTV,0,1157000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
388082000,PREpb,0,0,620700,642800,1,0,0,0,8,0.015625,0.0,0,0,-0.21946599565125405
402008300,ACTV,29755600,26967900,0,0,0,0,0,0,0,0,0,0,0,0.1884870404398467
402992300,PREpb,0,0,266100,984000,3,0,2,0,16,0.03125,0.03125,0.5,1.0,-0.21946599565125405
403018900,ACTV,1010600,26600,0,0,0,0,0,0,0,0,0,0,0,-0.2056105419459459
403063200,PREpb,0,0,22200,44300,1,0,0,0,8,0.015625,0.0,0,0,-0.21946599565125405
403089800,ACTV,70900,26600,0,0,0,0,0,0,0,0,0,0,0,-0.21849394769191668
404109400,PREpb,0,0,651600,1019600,1,0,2,0,12,0.015625,0.03125,0,1.0,-0.21946599565125405
404441900,ACTV,0,332500,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
405425900,PREpb,0,0,655900,984000,0,1,0,1,12,0.03125,0.03125,0,0,-0.21946599565125405
406622900,PREpb,0,0,103076400,103098600,0,0,0,0,12,0.015625,0.0,0,0,-0.21946599565125405
407810600,ACTV,0,2384700,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
408200600,ACTV,36662000,35987800,0,0,0,0,0,0,0,0,0,0,0,0.28317465717281726
408231600,ACTV,41914100,41240500,0,0,0,0,0,0,0,0,0,0,0,0.3551816118587947
408874700,PREpb,0,0,616500,643100,1,0,0,0,30,0.015625,0.0,0,0,-0.21946599565125405
408981000,PREpb,0,0,634100,780400,0,4,0,0,4,0.125,0.0,1.6666666666666667,0,-0.21946599565125405
409326800,PREpb,0,0,651600,1516200,2,0,2,0,4,0.015625,0.015625,0.0,0.0,-0.21946599565125405
411884600,ACTV,3653000,3009900,0,0,0,0,0,0,0,0,0,0,0,-0.1693829040368759
412576200,PREpb,0,0,669400,691600,0,0,0,1,8,0.0,0.03125,0,0,-0.21946599565125405
415568700,ACTV,37084400,36388800,0,0,0,0,0,0,0,0,0,0,0,0.288965814549744
416224900,PREpb,0,0,634000,656200,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
416969800,ACTV,0,744900,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
417643300,PREpb,0,0,615900,673500,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
418804200,ACTV,36870800,36227600,0,0,0,0,0,0,0,0,0,0,0,0.28603733155800265
419477800,PREpb,0,0,615900,673600,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
420515200,ACTV,0,1037400,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
421188700,PREpb,0,0,615900,673500,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
422203800,ACTV,14003200,13222800,0,0,0,0,0,0,0,0,0,0,0,-0.02748035412525887
422877400,PREpb,0,0,616100,673600,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
423861400,ACTV,0,984000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
424535000,PREpb,0,0,616000,673600,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
425753900,ACTV,38314700,37671900,0,0,0,0,0,0,0,0,0,0,0,0.305833383017625
426428000,PREpb,0,0,616400,674100,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
429437600,ACTV,0,3009600,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
430111200,PREpb,0,0,615900,673600,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
431002300,ACTV,68310800,67659700,0,0,0,0,0,0,0,0,0,0,0,0.717083704499708
433604100,PREpb,0,0,2579600,2601800,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
434419600,ACTV,22535000,21843400,0,0,0,0,0,0,0,0,0,0,0,0.08949170200273228
435093400,PREpb,0,0,616200,673800,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
436135000,ACTV,0,1041600,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
437961700,ACTV,134437400,31338800,0,0,0,0,0,0,0,0,0,0,0,1.6236877466424233
438635500,PREpb,0,0,616100,673800,1,1,0,0,14,0.046875,0.0,1.0,0,-0.21946599565125405
439632900,ACTV,0,997400,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
440289100,PREpb,0,0,634000,656200,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
442075100,PREpb,0,0,33399900,34264500,0,0,0,0,4,0.015625,0.015625,0.0,0.0,-0.21946599565125405
445111700,ACTV,37301100,3036600,0,0,0,0,0,0,0,0,0,0,0,0.29193679893321944
445767500,PREpb,0,0,633700,655800,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
446715300,ACTV,1603600,947800,0,0,0,0,0,0,0,0,0,0,0,-0.19748043701100854
447357900,PREpb,0,0,620400,642600,1,0,0,0,8,0.015625,0.0,0,0,-0.21946599565125405
465914100,ACTV,29779100,30820700,0,0,0,0,0,0,0,0,0,0,0,0.18880922840944372
466570200,PREpb,0,0,633900,656100,0,2,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
468396600,ACTV,2482500,1826400,0,0,0,0,0,0,0,0,0,0,0,-0.18543060694808028
469039300,PREpb,0,0,620500,642700,1,0,0,0,8,0.015625,0.0,0,0,-0.21946599565125405
476018500,ACTV,0,58375200,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
476710100,PREpb,0,0,634100,691600,0,2,0,0,10,0.0625,0.0,1.0,0,-0.21946599565125405
477206500,ACTV,0,496400,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
477880300,PREpb,0,0,616100,673800,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
479059300,ACTV,0,57870600,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
479733300,PREpb,0,0,616400,674000,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
479768800,ACTV,11372200,10729500,0,0,0,0,0,0,0,0,0,0,0,-0.06355169659375845
480424900,PREpb,0,0,633900,656100,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
480699900,ACTV,0,966600,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
481373300,PREpb,0,0,615700,673400,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
481754600,ACTV,1054700,381300,0,0,0,0,0,0,0,0,0,0,0,-0.2050059253732128
482380000,ACTV,0,57845000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
482384500,PREpb,0,0,607700,629900,0,1,0,0,10,0.03125,0.0,0,0,-0.21946599565125405
483054200,PREpb,0,0,616500,674200,1,1,0,0,8,0.046875,0.0,1.0,0,-0.21946599565125405
484215700,ACTV,0,1161500,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
484889500,PREpb,0,0,616200,673800,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
485873800,ACTV,0,55762600,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
486126600,PREpb,0,0,195200,252800,1,1,0,0,14,0.046875,0.0,1.0,0,-0.21946599565125405
490084600,ACTV,0,3958000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
490776100,PREpb,0,0,633900,691500,0,2,0,0,22,0.0625,0.0,1.0,0,-0.21946599565125405
491254600,ACTV,0,57650500,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
491910500,PREpb,0,0,633600,655900,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
492902700,ACTV,0,992200,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
493576400,PREpb,0,0,616100,673700,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
494733400,ACTV,14964600,14308500,0,0,0,0,0,0,0,0,0,0,0,-0.014299438637149598
495407000,PREpb,0,0,616000,673600,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
496369100,ACTV,0,962100,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
497025000,PREpb,0,0,633800,655900,0,1,0,0,8,0.03125,0.0,0,0,-0.21946599565125405
498226300,ACTV,0,57937200,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
498900100,PREpb,0,0,616200,673800,1,1,0,0,10,0.046875,0.0,1.0,0,-0.21946599565125405
499866100,ACTV,0,966000,0,0,0,0,0,0,0,0,0,0,0,-0.21946599565125405
500509000,PREpb,0,0,620700,642900,1,0,0,0,8,0.015625,0.0,0,0,-0.21946599565125405
501431300,ACTV,24224800,23551000,0,0,0,0,0,0,0,0,0,0,0,0.11265907353571236
